name,wording,uid,voice,tags
ACH_D3_Campaign_Cathedral_1_caption,The Evilest Evil,5921,,
ACH_D3_Campaign_Cathedral_1_description,Collect a total of 1000 Evilness in the mission “Twistram in Ruins”.,5922,,
ACH_D3_Campaign_Cathedral_1_obtained,Collected enough Evilness in the mission “Twistram in Ruins”.,8505,,
ACH_D3_Campaign_Cathedral_2_caption,No one has to die today!,5924,,
ACH_D3_Campaign_Cathedral_2_description,Complete the mission “Twistram in Ruins” without losing more than 3 creatures.,5923,,
ACH_D3_Campaign_Cathedral_2_obtained,Completed the mission “Twistram in Ruins” with few creatures lost.,8506,,
ACH_D3_Campaign_Cathedral_Completed_caption,Twistram is devastated,5919,,
ACH_D3_Campaign_Cathedral_Completed_description,Complete the mission “Twistram in Ruins”.,5920,,
ACH_D3_Campaign_Cathedral_Completed_obtained,Completed the mission “Twistram in Ruins”.,8504,,
ACH_D3_Campaign_ColdLight_1_caption,Use the terrain,6602,,
ACH_D3_Campaign_ColdLight_1_description,Kill 30 Heroes using an Obelisk.,6603,,
ACH_D3_Campaign_ColdLight_1_obtained,Killed enough Heroes with an Obelisk in the mission “Two Sides Of A Medal”.,8553,,
ACH_D3_Campaign_ColdLight_2_caption,Discoverer,6604,,
ACH_D3_Campaign_ColdLight_2_description,Find the two Obelisks in less than 25 minutes.,6605,,
ACH_D3_Campaign_ColdLight_2_obtained,Discovered the Obelisks in the mission “Two Sides Of A Medal” in a very short time.,8554,,
ACH_D3_Campaign_ColdLight_Completed_caption,At the foot of Mount Destiny,6600,,
ACH_D3_Campaign_ColdLight_Completed_description,Complete the mission “Two Sides Of A Medal”.,6601,,
ACH_D3_Campaign_ColdLight_Completed_obtained,Completed the mission “Two Sides Of A Medal”.,8552,,
ACH_D3_Campaign_Darksword_1_caption,"This is fun, I’m going to keep doing this!",6586,,
ACH_D3_Campaign_Darksword_1_description,Sacrifice more Heroes than needed in mission “I Am Your Father!” – until the Narrator is satisfied.,6587,,
